Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
7755,48.8638265,2.6324851,82.615,3.654,3.59,1547384551629000,247,3
7810,48.8638246,2.6324847,82.603,3.696,3.65,1547384551684000,247,3
7865,48.8638227,2.6324843,82.602,3.742,3.7,1547384551739000,247,3
7920,48.8638208,2.632484,82.589,3.79,3.74,1547384551794000,247,3
7975,48.863819,2.6324837,82.601,3.718,3.79,1547384551849000,236,3
8029,48.8638171,2.6324834,82.647,3.733,3.72,1547384551903000,236,3
8084,48.8638151,2.6324831,82.654,3.847,3.73,1547384551958000,236,3
8139,48.8638132,2.6324829,82.658,3.877,3.85,1547384552013000,236,3
8194,48.8638111,2.6324826,82.635,3.928,3.88,1547384552068000,236,3
8249,48.8638089,2.6324823,82.577,4.007,3.93,1547384552123000,236,3
8304,48.8638068,2.6324819,82.555,4.104,4.01,1547384552178000,236,3
8359,48.8638049,2.6324816,82.568,4.024,4.1,1547384552233000,236,3
8414,48.8638032,2.6324814,82.577,3.856,4.02,1547384552288000,236,3
8469,48.8638011,2.6324809,82.56,3.962,3.86,1547384552343000,236,3
8524,48.8637989,2.6324803,82.553,4.18,3.96,1547384552398000,236,3
8580,48.8637967,2.6324798,82.554,4.268,4.18,1547384552454000,236,3
8634,48.8637945,2.632479,82.542,4.309,4.27,1547384552508000,236,3
8689,48.8637925,2.6324783,82.566,4.288,4.31,1547384552563000,236,3
8744,48.8637905,2.632478,82.582,4.246,4.29,1547384552618000,236,3
8800,48.8637884,2.6324777,82.583,4.254,4.25,1547384552674000,236,3
8854,48.8637862,2.6324771,82.566,4.276,4.25,1547384552728000,236,3
8909,48.8637842,2.6324764,82.556,4.263,4.28,1547384552783000,236,3
8964,48.8637821,2.6324758,82.542,4.268,4.26,1547384552838000,236,3
9020,48.8637798,2.6324752,82.529,4.401,4.27,1547384552894000,236,3
9075,48.8637774,2.6324743,82.501,4.459,4.4,1547384552949000,236,3
9130,48.8637754,2.6324738,82.48,4.352,4.46,1547384553004000,236,3
9185,48.8637731,2.6324735,82.487,4.453,4.35,1547384553059000,236,3
9240,48.863771,2.6324731,82.507,4.439,4.45,1547384553114000,236,3
9295,48.8637687,2.632473,82.535,4.575,4.44,1547384553169000,236,3
9350,48.8637663,2.632473,82.516,4.672,4.58,1547384553224000,236,3
9405,48.8637638,2.6324729,82.478,4.69,4.67,1547384553279000,236,3
9460,48.8637616,2.6324728,82.482,4.669,4.69,1547384553334000,236,3
9515,48.8637594,2.6324727,82.475,4.58,4.67,1547384553389000,236,3
9570,48.8637569,2.6324727,82.484,4.694,4.58,1547384553444000,236,3
9625,48.8637543,2.6324727,82.475,4.859,4.69,1547384553499000,236,3
9680,48.8637518,2.6324725,82.485,4.944,4.86,1547384553554000,236,3
9735,48.8637495,2.6324725,82.491,4.834,4.94,1547384553609000,236,3
9790,48.8637472,2.6324723,82.513,4.816,4.83,1547384553664000,236,3
9845,48.8637447,2.6324723,82.528,4.882,4.82,1547384553719000,236,3
9900,48.8637421,2.6324722,82.557,4.99,4.88,1547384553774000,236,3
9955,48.8637397,2.6324719,82.597,4.987,4.99,1547384553829000,236,3
10010,48.8637374,2.6324716,82.669,4.905,4.99,1547384553884000,236,3
10065,48.8637351,2.6324712,82.686,4.771,4.91,1547384553939000,236,3
